"rowid","votereg","inputregstate","region","division","CONSENT","TAX_rate","STATE_DC","STATE_PR","SEXWORK","LOCALNEWS","REDFLAG","STUDEBT","GND","BDS","PRISVOTE","PROSPAY","FEES","SSCAP","OVERTIME","FOURDAY","TELMED","MINWAGE","WEALTAX","NAMEANYDEM","NAMEANYREP","employ","job","work_employees","work_comp","pp_daily_intuse_work","work_customers","work_benefits","work_pay","jobsec","side_job_US_1","side_job_US_2","side_job_US_3","side_job_US_4","side_job_US_5","side_job_US_6","side_job_US_7","side_job_US_8","employ_worktype","employ_worktype_other","NRSCLASS","DOWORK","WORKDIVERSE","WORKSAFE","class_neighbor","parents_ed","PAID","class_open","KARNOSKI","REGENTS","PICS","SHELBY","BURWELL","REDISTRICTING","SCOTUSQ1","SCOTUSQ2","SCOTUSGRID_split","roberts1","thomas1","sotomayor1","ginsberg1","kavanaugh1","kagan1","alito1","breyer1","gorsuch1","roberts2","thomas2","sotomayor2","ginsberg2","kavanaugh2","kagan2","alito2","breyer2","gorsuch2","COURTVIEW","COURTAPPROVE","PRES_APP","pid3","pid3_t","pid7","dtrpsupp","ideo5","turnout16","presvote16post","presvote16post_t","djtrelct","turnout18post","housevote18post","housevote18post_t","fin_emerg","fin_checking","fin_savings","fin_cashing","fin_cc","fin_loan","fin_car","fin_sticks","HOME_OWN","OPIOID","union_combined_1","union_combined_5","union_combined_2","union_combined_6","union_combined_3","union_combined_4","birthyr","age5","educ","educ4","educ2","race","race_t","race4","race2","hispanic","faminc_new","urban","GENDER_4","GENDER4_open","weight"
955,1,6,4,9,1,6,6,3,2,6,1,6,4,6,2,6,5,6,6,2,1,1,6,"Nancy Pelosi","Rebecca Kleefisch",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,"Having to go paycheck to paycheck and never be totally comfotable financially",1,1,3,3,1,3,9,"John Roberts",1,6,6,2,1,5,6,6,6,6,6,6,2,2,5,6,6,6,6,2,3,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,2,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1995,1,5,3,2,1,NA,1,1,2,4,1,2,NA,0.4086
956,1,4,4,8,1,2,4,4,5,5,2,1,1,4,2,5,2,4,4,5,4,5,1,"Nancy Pulosi","Martha McDally",1,NA,1,1,1,1,1,3,4,2,2,2,2,1,2,2,2,6,NA,1,"Chiropractor",3,1,1,4,3,"People who work and make at least $20k per year to $60k per year",1,1,1,1,2,1,9,"Gunsersen",2,4,5,1,4,5,1,2,2,4,4,3,2,3,4,2,4,2,5,2,4,5,3,NA,3,NA,3,2,NA,NA,2,1,1,NA,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1983,2,6,4,2,6,NA,4,2,2,10,2,1,NA,0.6512
957,1,26,2,3,1,1,6,6,5,6,1,5,6,6,2,6,2,6,2,6,6,1,6,"","",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,"Living paycheck to paycheck",1,1,3,3,3,3,NA,"",1,6,6,6,6,5,6,6,6,5,6,6,2,6,5,6,6,6,5,1,3,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1984,2,4,2,1,6,NA,4,2,2,4,1,1,NA,1.2205
958,1,18,2,3,1,1,2,1,2,4,4,1,1,3,3,4,5,1,2,2,1,1,1,"Mercer","",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,"Struggling to get by",1,1,1,1,1,1,9,"Hughes",1,3,4,4,1,5,6,6,6,3,5,4,6,2,5,4,6,6,3,2,5,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,2,1942,5,3,2,1,1,NA,1,1,2,4,2,1,NA,0.7593
959,1,49,4,8,1,4,2,1,5,5,5,5,5,5,4,1,3,2,2,4,5,5,5,"Occasio","Mia Love, Michelle Kaufusi",1,NA,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,23,NA,4,"I record backing tracks for broadway musicals. Then we rent the music to schools and community theatres that can’t afford to hire a pit orchestra.",2,1,2,1,5,"Blue collar work and entry level work under 15 an hour",2,1,1,1,2,2,13,"Ginsburg",1,6,6,4,4,5,6,6,6,6,6,6,2,1,5,6,6,6,6,2,4,5,4,"Libertarian",4,NA,3,1,5,NA,2,1,5,"",1,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1992,1,5,3,2,3,NA,3,2,1,4,2,1,NA,0.6632
960,1,18,2,3,1,6,5,1,1,6,3,5,5,1,5,1,1,6,1,1,5,5,5,"Nancy Pelosi","Susan Brooks",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,"To know what it’s like to have to work hard for a living, deal with financial problems, and not have everything handed to them.",2,2,3,2,2,3,9,"Dont know",2,6,3,6,5,1,6,6,6,1,6,6,1,1,5,1,6,6,5,2,2,1,3,NA,5,1,3,1,2,NA,1,1,2,NA,2,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1977,3,3,2,1,1,NA,1,1,2,11,2,1,NA,1.7856
961,1,42,1,2,1,6,6,1,1,6,6,3,3,3,3,NA,3,3,3,3,3,3,3,"Dont know","Jennifer Gonzalez",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,"The one that work and pay taxes",1,3,3,3,3,3,20,"Dont know",1,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,1,3,5,5,NA,8,NA,6,2,7,NA,2,2,NA,NA,2,1,1,1,2,2,1,2,1,2,2,2,2,2,1,2,1983,2,5,3,2,3,NA,3,2,1,1,1,2,NA,0.6245
962,1,5,3,7,1,6,1,1,4,5,2,1,3,5,4,4,1,1,NA,3,5,3,5,"","",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,"working",2,2,1,2,2,3,9,"Roberts",1,2,1,3,5,1,3,3,3,1,4,4,6,1,4,6,6,6,4,1,2,1,2,NA,7,1,4,1,2,NA,1,1,2,NA,1,1,1,3,1,2,1,2,1,2,2,2,2,2,1,2,1947,5,4,2,1,1,NA,1,1,2,4,3,2,NA,0.8464
963,1,48,3,7,1,3,1,1,1,3,1,5,1,3,6,3,3,5,1,2,1,2,1,"Kamala Harris","Kay Bailey Hutchinson",1,NA,2,1,2,1,1,1,4,2,2,2,2,2,2,1,2,6,NA,1,"Registered Nurse on the medical emergency team that responds all over the hospital to all emergency situations.",1,1,2,3,4,"Working class is the ones who provide either materials or services to others.",1,1,1,3,1,1,9,"Bader",2,2,1,3,1,3,2,3,2,3,2,3,2,1,3,2,3,3,6,1,3,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,2,1957,4,4,2,1,1,NA,1,1,2,11,2,1,NA,0.8319
964,1,6,4,9,1,1,1,4,5,2,1,1,1,1,4,1,6,4,1,4,1,1,1,"Warren","Murkowski",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,"physical labor, less than $52,000 annual, no more than 2 yr college degree or technical school.",1,2,2,2,1,2,9,"Roberts",1,2,5,1,1,5,1,5,6,4,3,5,2,2,4,2,5,6,5,2,4,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1964,4,5,3,2,3,NA,3,2,1,3,2,2,NA,0.4192
965,1,49,4,8,1,3,3,1,1,3,1,5,1,1,5,3,1,5,1,1,5,1,5,"senator mccaskill","michelle bachman",1,NA,1,1,1,1,1,1,4,2,2,2,2,2,2,1,2,6,NA,1,"lab management",1,1,2,2,3,"part of the group of people who keep the country running",3,2,1,1,1,1,9,"roberts",1,3,4,3,3,4,3,3,3,3,6,6,6,6,4,6,6,2,6,2,4,5,3,NA,3,NA,1,1,1,NA,2,1,1,NA,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1979,3,4,2,1,1,NA,1,1,2,8,2,2,NA,1.1237
966,1,6,4,9,1,6,6,6,3,6,2,2,6,6,4,4,6,6,6,4,6,6,6,"","",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,"",3,1,1,3,2,3,NA,"",1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,5,1,NA,2,NA,6,2,7,NA,3,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1965,4,2,1,1,3,NA,3,2,1,97,3,2,NA,0.899
967,1,36,1,2,1,2,3,1,2,2,2,1,1,3,2,2,3,3,1,2,1,1,1,"Ocasio-Cortez","Collins",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,"manual labor workers lacking college degrees. blue collar.",1,1,3,3,1,3,9,"Roberts",1,2,4,1,1,5,1,4,6,6,4,5,2,2,5,2,5,2,4,1,4,5,3,NA,3,NA,1,1,6,NA,2,1,1,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1970,3,3,2,1,1,NA,1,1,2,97,2,1,NA,0.9892
968,1,26,2,3,1,1,5,1,2,4,2,5,5,4,4,2,2,1,4,5,5,5,1,"Dana Nessel","Lisa Murkowski",2,NA,3,3,4,4,4,6,4,2,2,2,2,2,2,1,2,25,NA,NA,"None of your business",1,1,1,6,1,"That you have to work to earn a living. That that living is basic, for example, you can pay your bills, but you may have difficulty with major or unexpected expenses, and you can't afford luxuries.",3,2,1,1,1,2,9,"Roberts",2,4,5,2,1,3,2,5,1,4,4,5,1,1,4,1,5,1,4,2,4,4,1,NA,2,NA,4,1,2,NA,2,1,1,NA,1,2,2,1,2,2,1,2,1,1,2,2,2,2,1,2,1972,3,3,2,1,1,NA,1,1,2,4,2,1,NA,1.0991
969,1,6,4,9,1,2,5,1,2,5,1,5,5,2,5,4,5,1,5,2,2,5,2,"harris","Martha McSally",1,NA,2,1,2,2,2,1,4,2,2,2,2,2,2,1,2,10,NA,3,"Director of Marketing. Print advertising, catalog design.",1,1,2,3,2,"Someone who has a regular job and works 30 to 40 hours per week",2,2,1,2,2,2,9,"John Roberts",2,1,1,5,6,1,4,1,5,1,4,5,2,1,5,2,4,3,4,1,1,1,2,NA,7,4,4,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,2,1,1,2,2,2,2,1,2,1938,5,4,2,1,1,NA,1,1,2,11,2,1,NA,0.6026
970,1,4,4,8,1,2,4,1,4,4,2,3,4,6,5,4,4,2,2,3,3,2,1,"Kristen Sinema","Martha McSally",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,"Blue collar the have nots",2,3,1,3,2,3,9,"Unsure",2,3,3,3,3,3,3,3,3,3,4,4,2,3,4,6,6,2,4,1,3,4,3,NA,4,NA,3,2,7,NA,2,1,1,NA,2,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,1971,3,3,2,1,1,NA,1,1,2,3,3,1,NA,0.7729
971,1,12,3,5,1,2,1,1,NA,1,2,4,2,2,4,4,2,2,1,6,5,4,1,"nancy pelosi","virginia foxx",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,3,"In this current economy,to me it means living from paycheck to paycheck..working class are the backbone of this country",2,1,1,2,2,3,9,"john roberts",1,2,2,2,2,2,2,2,2,2,4,4,2,2,4,2,4,2,4,2,2,4,3,NA,4,NA,3,1,2,NA,2,1,2,NA,1,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1949,5,3,2,1,1,NA,1,1,2,3,3,2,NA,0.8464
972,1,8,4,8,1,5,1,5,5,5,5,5,1,6,3,NA,3,5,1,5,5,5,5,"Nancy pelosi","",1,NA,2,1,1,3,1,1,5,2,2,2,2,2,2,1,2,24,"Oil field",NA,"Truck driver",1,1,1,3,1,"The people that make the country work. Those that work pay taxes.",2,2,3,3,2,2,9,"Which one?",1,2,2,5,5,3,3,2,3,3,6,4,1,1,4,2,4,6,4,2,3,1,4,"Conservative",5,1,5,1,2,NA,1,1,2,NA,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1965,4,2,1,1,1,NA,1,1,2,9,3,1,NA,1.1882
973,1,6,4,9,1,6,2,1,3,6,1,3,3,6,5,3,3,2,2,3,6,3,2,"Nancy Pelosi","Sarah Palin",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,"I guess it means to be slightly poor but working",1,1,1,3,1,3,9,"Roberts",2,3,3,3,3,4,3,3,3,3,4,4,2,2,5,2,4,2,5,2,3,4,3,NA,4,NA,3,1,6,NA,2,1,1,NA,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1982,2,2,1,1,1,NA,1,1,2,97,2,2,NA,0.5898
974,1,12,3,5,1,1,4,1,3,2,1,1,1,3,1,3,2,1,2,3,1,3,1,"Nancy Pelosi","Susan Collins",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,"Working hard to make a living but mostly living month to month. If an emergency comes up, the person/family is in crisis. Very difficult to save money as living expenses are much too high.",1,1,1,2,1,2,9,"Roberts",2,2,3,1,1,5,1,3,2,5,3,5,2,2,5,2,3,3,5,2,4,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,1951,5,4,2,1,1,NA,1,1,2,8,2,2,NA,0.8464
975,1,48,3,7,1,1,1,1,2,1,1,1,1,5,2,1,1,1,1,3,1,1,1,"Nancy Pelosi","Joni Ernst",1,NA,2,2,4,3,1,1,2,1,2,2,2,2,2,2,2,1,NA,4,"I am a chemical applicator. I am either trying to kill it or keep it alive",1,2,1,2,6,"Oh wow what a question? Who the hell do you think I am? Studs Terkel? Working class is going because you got to get hours no matter how much you slept last night. Working class is piss in the cup or pretend to with the dried urine you keep in a safe spot. Working class is hoping that next paycheck will cover the bills. Working class is a trailer park next to the high school. Working class is beans and rice. Working class is you got fired Right Before you get hurt because they say so. Working class is getting your PTO taken away because you gave them 2 weeks notice and there's no reason for them to pay. Working class is your kid saying you are poor even if you just had the best fucking numbers of your life. Working class is getting a job in a small town and getting by. And then move on to the big city because they pay double but so is the rent. Working class heroes die.",1,1,3,2,1,2,9,"Roberts",2,3,5,1,1,5,1,5,2,5,4,5,3,2,5,3,5,3,5,2,4,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1967,4,5,3,2,1,NA,1,1,2,7,2,1,NA,1.1733
976,1,48,3,7,1,3,2,4,4,3,1,4,2,4,1,4,2,4,2,2,4,2,2,"Hillary","Hillary",2,NA,2,1,1,1,1,3,1,2,2,2,2,2,2,1,2,18,NA,4,"Counsel",2,1,2,4,4,"Not sure",2,1,2,1,1,2,10,"Don't know",2,2,2,2,2,4,4,4,2,4,3,3,4,4,3,4,4,3,4,2,2,2,2,NA,6,2,3,2,7,NA,3,1,2,NA,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1986,2,2,1,1,4,NA,4,2,2,5,2,1,NA,0.7071
977,1,12,3,5,1,1,3,3,2,2,3,2,4,5,1,5,4,3,4,3,4,3,3,"Don't know any at the moment","I don't really get into politics don't know any",1,NA,2,1,3,1,1,1,3,1,2,2,2,2,2,2,2,5,NA,2,"Cna",2,1,4,3,3,"I don't know",3,3,3,3,2,3,7,"I don't know",2,3,3,1,1,5,1,3,1,5,3,3,1,3,6,1,2,3,6,1,5,6,1,NA,1,NA,3,1,1,NA,2,1,1,NA,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1989,2,3,2,1,2,NA,2,2,2,3,1,2,NA,1.7456
978,1,30,4,8,1,2,2,3,5,4,1,2,4,3,4,3,2,2,2,4,5,3,1,"Palosi","Sarah Palin",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,"Proud to be",2,3,1,1,2,3,8,"",2,3,3,4,5,1,5,3,5,1,3,3,1,1,4,1,3,1,4,1,2,1,2,NA,7,1,4,1,2,NA,1,1,2,NA,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,2,1953,5,2,1,1,1,NA,1,1,2,5,3,2,NA,1.0442
979,1,2,4,9,1,1,4,2,1,2,1,1,4,3,1,2,3,2,3,3,3,3,1,"","",1,NA,1,1,2,1,3,3,2,1,2,2,2,2,2,2,2,23,NA,4,"I teach",2,1,1,1,2,"",1,2,1,3,2,1,NA,"",2,1,2,4,3,3,1,1,1,6,2,2,1,6,2,4,3,1,2,1,3,1,1,NA,1,NA,3,2,7,NA,1,2,NA,NA,2,1,1,1,1,2,1,2,1,2,1,1,2,2,2,2,1997,1,4,2,1,2,NA,2,2,2,6,2,2,NA,1.2426
980,1,26,2,3,1,2,3,3,2,3,3,3,2,3,3,4,4,2,3,2,2,2,3,"Debbie","Nikki Halley",1,NA,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,9,NA,2,"Design engineer",2,2,2,1,3,"Means pressure",2,2,1,1,2,2,9,"John robert",2,2,2,2,3,2,3,2,3,3,3,3,3,2,4,2,3,3,4,2,3,2,2,NA,6,2,3,2,7,NA,3,1,2,NA,1,1,1,2,1,2,3,1,1,2,2,2,2,2,1,2,1965,4,5,3,2,1,NA,1,1,2,5,3,1,NA,1.1877
981,1,6,4,9,1,1,4,2,2,3,2,4,1,2,1,1,5,1,2,5,1,1,1,"Nancy Pelossi","Evelynn Sanguinetti",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,"To work your ass off and be taxed the hell out of. Day after day til you die.",1,1,1,3,3,3,9,"Roberts",1,2,2,1,2,5,1,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,1,NA,1,NA,3,1,1,NA,2,1,1,NA,2,1,1,2,2,1,1,2,1,2,2,2,2,2,1,2,1977,3,3,2,1,1,NA,1,1,2,9,3,2,NA,1.1237
982,1,6,4,9,1,2,3,1,2,3,4,2,3,5,5,2,2,2,2,3,3,2,2,"Nancy Pelosi","Betsy Devos",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,"You get shafted by both your employer and your government.",3,2,1,1,1,1,9,"Roberts",2,2,4,3,1,2,3,3,3,3,3,4,2,2,4,3,6,6,6,1,2,2,1,NA,1,NA,2,1,4,NA,1,1,1,NA,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1965,4,3,2,1,1,NA,1,1,2,2,2,1,NA,0.7729
983,1,20,2,4,1,3,5,5,5,2,2,5,5,1,5,4,2,2,4,5,5,5,5,"Pelosi","",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,"Putting in a 40 hours working week -- usually physical labor -- often called a blue collar worker -- an employee with a boss, overseer.",2,2,1,1,2,3,9,"",1,2,2,4,5,2,4,3,3,3,4,4,2,1,4,1,3,3,3,2,4,1,2,NA,7,4,5,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,1,1,3,2,2,2,2,1,2,1934,5,4,2,1,1,NA,1,1,2,12,3,2,NA,0.8569
984,1,42,1,2,1,2,3,2,4,3,3,3,2,NA,1,3,6,2,6,6,6,6,2,"","",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,"People who must work to survive",3,3,3,1,2,2,9,"",2,6,2,2,1,4,2,6,2,4,4,2,2,2,4,6,4,6,4,2,6,4,1,NA,2,NA,3,2,7,NA,2,1,1,NA,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1999,1,3,2,1,4,NA,4,2,2,97,1,2,NA,0.8157
985,1,49,4,8,1,4,4,2,5,4,2,4,4,4,5,3,4,2,1,2,5,4,1,"nancy pelosi","unknown",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,"doing actual work, physical labor,",2,2,1,3,2,2,7,"roberts",1,3,3,3,3,3,3,3,3,3,4,6,6,1,4,6,6,6,4,2,3,2,2,NA,6,2,5,1,2,NA,1,1,2,NA,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1989,2,4,2,1,1,NA,1,1,2,2,2,1,NA,2.0797
986,1,11,3,5,1,3,3,2,6,3,2,2,2,6,2,4,2,5,2,1,6,1,5,"Michelle Fischbach","Donna Lynne",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,"Working class are adults as those lacking a college degree, rather than by occupation or income. ... For purposes of political science, and less scientific or journalistic political analysis, defining the working class as less well educated workers is useful.",2,1,1,2,1,2,9,"Jay",1,1,1,1,3,2,1,1,1,2,1,2,2,2,3,3,3,3,2,2,4,1,1,NA,1,NA,4,1,2,NA,3,1,1,NA,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1997,1,4,2,1,2,NA,2,2,2,3,1,1,NA,4.3502
987,1,37,3,5,1,5,6,6,2,5,6,5,5,6,5,4,6,6,6,3,3,5,6,"Nancy Pelosi","Lisa Murkowski",1,NA,1,1,2,1,3,5,4,2,2,2,2,2,2,1,2,24,"Antiques / Collectibles dealer",NA,"everything",2,1,2,3,3,"",3,2,1,3,1,3,9,"John Roberts",2,3,3,4,3,3,4,3,3,3,6,6,6,6,6,6,6,6,6,1,3,2,4,"",5,5,3,1,2,NA,1,1,2,NA,2,1,2,2,1,2,1,2,1,1,2,2,2,2,1,2,1969,4,3,2,1,1,NA,1,1,2,8,2,1,NA,1.0857
988,1,6,4,9,1,2,3,2,4,2,1,3,4,3,4,1,1,5,1,2,1,3,1,"Taylor","Jones",1,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,9,NA,2,"new",1,1,2,1,2,"good",1,1,2,2,NA,2,2,"new",2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,NA,7,2,4,1,1,NA,1,1,3,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1985,2,5,3,2,1,NA,1,1,2,10,1,1,NA,0.8371
989,1,6,4,9,1,2,4,3,4,NA,3,4,2,2,4,2,4,4,4,4,3,4,4,"Hillary","Everline",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,"Not poor",2,1,1,2,1,1,9,"Roberts",2,5,4,5,2,4,5,2,3,3,3,5,4,4,3,3,3,3,4,2,2,4,1,NA,2,NA,3,1,1,NA,2,1,1,NA,1,1,NA,2,1,2,2,2,1,2,2,2,2,2,1,2,1998,1,3,2,1,1,NA,1,1,2,2,1,1,NA,2.0797
990,1,41,4,9,1,6,6,6,5,5,3,1,5,6,5,6,5,1,1,5,5,5,5,"","",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"",2,3,3,3,2,3,NA,"",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,5,1,4,"constitutionalist",5,1,4,1,2,NA,1,1,2,NA,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,2,1986,2,4,2,1,1,NA,1,1,2,97,3,2,NA,1.1237
991,1,17,2,3,1,2,3,3,2,3,6,2,4,3,2,2,2,4,1,1,1,1,2,"","",1,NA,2,1,1,1,1,1,4,1,1,2,2,2,2,2,2,5,NA,2,"Insurance",1,1,1,5,6,"Poor",1,1,2,2,1,3,9,"",2,2,2,1,1,5,1,2,2,5,3,3,1,2,5,1,3,1,5,1,2,5,1,NA,1,NA,1,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,1986,2,5,3,2,2,NA,2,2,2,9,1,2,NA,1.5544
992,1,12,3,5,1,6,1,2,2,2,5,5,4,5,2,2,1,1,2,3,3,4,1,"Pelosi","marsha blackburn",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,"Anyone working 8 hrs a day for 5 days a week.",2,2,3,1,1,1,8,"JOHN JAY",2,1,1,3,5,1,3,2,3,1,4,4,2,1,3,2,4,2,4,1,1,1,2,NA,7,1,4,1,2,NA,1,1,2,NA,1,1,1,NA,1,2,1,1,1,1,2,2,2,2,1,2,1947,5,3,2,1,1,NA,1,1,2,4,1,2,NA,0.8464
993,1,24,3,5,1,5,1,1,3,6,2,4,1,5,5,5,2,5,2,4,3,4,2,"Nancy Pelosi","Susan Collins",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,"Paycheck to paycheck, with little savings or assets.",1,1,1,1,1,2,9,"Roberts",2,3,5,1,1,5,1,3,1,5,4,5,1,1,5,1,4,2,5,2,3,5,1,NA,1,NA,1,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1969,4,5,3,2,1,NA,1,1,2,15,3,1,NA,1.1733
994,1,40,3,7,1,2,4,1,1,3,1,1,1,4,2,2,2,2,1,1,2,2,1,"Nancy Pelosi","Marsha Blackburn",1,NA,2,1,2,3,3,2,3,2,2,2,2,2,2,1,2,10,NA,3,"I listen to audio and type what I hear.",2,1,2,5,5,"Working long hours to barely get by.",1,1,3,2,1,2,9,"Roberts",1,4,5,1,1,5,1,4,1,5,4,5,1,1,5,1,4,2,5,1,4,5,3,NA,3,NA,2,1,1,NA,2,1,1,NA,2,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1974,3,3,2,1,1,NA,1,1,2,9,2,2,NA,1.5785
995,1,32,4,8,1,3,1,5,2,5,1,5,6,6,5,4,2,6,2,5,6,5,5,"nancy palosi","none",2,NA,2,1,3,3,3,1,3,2,2,2,2,2,2,1,2,10,NA,3,"transcribe reports; file; answer phones",2,1,1,3,3,"working 40 or fewer hours a week for an hourly salary.",2,2,2,3,1,3,11,"ginsberg",1,3,4,3,2,2,3,3,3,3,6,6,6,6,6,6,6,6,6,1,2,2,2,NA,7,1,5,1,2,NA,1,1,2,NA,1,1,2,1,1,1,1,2,1,2,2,1,2,2,2,2,1946,5,3,2,1,1,NA,1,1,2,2,1,2,NA,0.6026
